URL;Название;Полное название;Описание;Текст песни;Количество файлов;Файлы аудио;Файлы минусовок;Видео;Категории
https://xn----9sbmabsiicuddu3a5lep.xn--p1ai/media/25-luchshih-kolybel-nyh-pesen;25 лучших колыбельных песен;25 лучших колыбельных песен - Сборник колыбельных - Колыбельные-песни.рф;25 лучших колыбельных песен, Старые колыбельные;Котик Дарья Дронова Пошёл котик во лесок, —Нашёл котик поясокЧем люлечку подцепитьДа Ванюшку положить,Ваня будет спать,Котик Ваню качать,А котик его качатьДа, серенький, величать,Сон да Дрёма,Усыпи моё дитя!Пошёл коток во Торжок,Купил себе пирожок.Идёт котик на лавочке,Ведёт киску за лапочку.Ходят вместе они —А ты, маленький, усни.;1;25-luchshih-kolybelnyh-pesen.mp3;-;https://www.youtube.com/embed/yM7PcjLsM3g?ecver=1; С видео Советские колыбельные 
https://xn----9sbmabsiicuddu3a5lep.xn--p1ai/media/kolybel-naya-dochke;Колыбельная дочке;Елена Полякова - Колыбельная дочке - Елена Полякова - Колыбельные-песни.рф;Елена Полякова - Колыбельная дочке, Женский голос, Для девочки, для дочери, Современные колыбельные;Ночь пришла и спят давноДетские игрушки.Только доченька не спит.Ушки на макушке.Спи, моя девочка,Самая красивая.Спи, моя милая,Самая любимая.Во дворе уснул щенок,Спит в кроватке кошка.Только дочка не уснет,Разгулялись ножки.Спи, моя девочка,Самая красивая.Спи, моя милая,Самая любимая.В зоопарке слоник спит,Спит медведь и лама.Скоро доченька уснет,Отдохнет и мама.;1;elena-polyakova---kolybelnaya-dochke.mp3;-;-; С текстом Для девочки, для дочери Женский голос Современные колыбельные 
https://xn----9sbmabsiicuddu3a5lep.xn--p1ai/media/spi-moy-vorobushek-kolybel-naya-synu;Спи, мой воробушек (колыбельная сыну);Анна Герман - Спи, мой воробушек (колыбельная сыну) - Анна Герман - Колыбельные-песни.рф;Анна Герман - Спи, мой воробушек (колыбельная сыну), Женский голос;Месяц над нашею крышею светит,Вечер стоит у двора.Маленьким птичкам и маленьким детямСпать наступила пора.     Завтра проснешься и ясное солнце     Снова взойдет над тобой,     Спи, мой воробушек, спи, мой сыночек,     Спи, мой звоночек родной!Спи, моя крошка, мой птенчик пригожий,Баюшки-баю-баю.Пусть никакая печаль не тревожитДетскую душу твою.     Ты не увидишь ни горя, ни муки,     Доли не встретишь лихой.     Спи, мой воробушек, спи, мой сыночек,     Спи, мой звоночек родной!Спи, мой малыш, вырастай на просторе,Быстро промчатся года.Смелым орленком на ясные зориТы улетишь из гнезда.     Ясное небо, высокое солнце     Будут всегда над тобой.     Спи, мой воробушек, спи, мой сыночек,     Спи, мой звоночек родной;2;anna-german---spi-moj-vorobushek-kolybelnaya-synu.mp3;anna-german---spi-moj-vorobushek-kolybelnaya-synu_1.mp3.mp3;-; С текстом С минусовками Для мальчика, для сына Женский голос 
https://xn----9sbmabsiicuddu3a5lep.xn--p1ai/media/kolybel-naya-tishiny-iz-k-f-on-drakon;"Колыбельная тишины (из к/ф ""Он - дракон"")";"Женя Любич - Колыбельная тишины (из к/ф ""Он - дракон"") - Женя Любич - Колыбельные-песни.рф";"Женя Любич - Колыбельная тишины (из к/ф ""Он - дракон""), Женский голос, Современные колыбельные, Из фильмов";Мне бы крылья, чтобы укрыть тебя,Мне бы вьюгу, чтоб убаюкала,Мне бы звёзды, чтоб осветить твой путь,Мне б увидеть сон твой когда-нибудь.Баю-баю-бай, ветер, ветер - улетай,И до самого утра я останусь ждать тебя.Мне бы небо чёрное показать...Мне бы волны, чтобы тебя укачать,Мне бы в колыбельную тишину,Точно корабли проплывают сны.Баю-баю-бай, ветер, ветер - улетай,И до самого утра я останусь ждать тебя.Баю-баю-бай...Баю-баю-бай...;1;zhenya-lyubich---kolybelnaya-tishiny-iz-kf-on---drakon.mp3;-;https://www.youtube.com/embed/ULUBlCdZtig?ecver=1; С видео С текстом Женский голос Современные колыбельные Из фильмов 
https://xn----9sbmabsiicuddu3a5lep.xn--p1ai/media/kolibel-naya-medvedicy-iz-m-f-umka;"Колыбельная медведицы (из м/ф ""Умка)";"Колыбельная медведицы (из м/ф ""Умка) - Аида Ведищева - Колыбельные-песни.рф";"Аида Ведищева - Колыбельная медведицы (из к/ф ""Умка), Женский голос";"Ложкой снег мешая,
Ночь идет большая,
Что же ты, глупышка, не спишь.
Спят твои соседи
Белые медведи,
Спи и ты скорей, малыш.
Спят твои соседи
Белые медведи,
Спи и ты скорей, малыш.

Мы плывём на льдине,
Как на бригантине
По седым суровым морям.
И всю ночь соседи,
Звёздные медведи
Светят дальним кораблям.
И всю ночь соседи,
Звёздные медведи
Светят дальним кораблям.

Ложкой снег мешая,
Ночь идет большая,
Что же ты, глупышка, не спишь.
Спят твои соседи,
Белые медведи,
Спи и ты скорей, малыш.
Спят твои соседи,
Белые медведи,
Спи и ты скорей, малыш.
Спи и ты скорей, малыш.";2;kolybelnaya-medveditsi-iz-mf-umka.mp3;kolybelnaya-medveditsi-iz-mf-umka_1.mp3.mp3;https://www.youtube.com/embed/pfN5eJUYjwM?ecver=1; С видео С текстом С минусовками Женский голос Другие животные Советские колыбельные Из мультфильмов 
https://xn----9sbmabsiicuddu3a5lep.xn--p1ai/media/spi-ditya-solnce-veter-i-orel;Спи, дитя (Солнце, ветер и орел);Спи, дитя (Солнце, ветер и орел) - Валентина Рябкова - Колыбельные-песни.рф;Спи, дитя (Солнце, ветер и орел), Старые колыбельные;"Спи, дитя мое, усниСладкий сон к себе мани.В няньки я к тебе взялаВетер, солнце и орла.Улетел орел давно;Солнце скрылось за горой;Ветер после трех ночейМчится к матери своей.Ветра спрашивает мать:""Где изволил пропадать?Али в звёзды воевал?Али волны всё гонял?""""Не гонял я волн морских,Звёзд не трогал золотых, -Я дитя оберегал,Колыбелечку качал!""";1;spi-ditya-solntse-veter-i-orel.mp3;-;-; С текстом Только голос Женский голос Другие животные Старые колыбельные Русские народные колыбельные 
https://xn----9sbmabsiicuddu3a5lep.xn--p1ai/media/spyat-ustalye-igrushki;Спят усталые игрушки;"Спят усталые игрушки - Из телепередачи ""Спокойной ночи, малыши"" - Колыбельные-песни.рф";Спят усталые игрушки, Спят усталые игрушки, Мужской голос, Советские колыбельные;"Спят усталые игрушки, книжки спят, Одеяла и подушки ждут ребят. Даже сказка спать ложится, Чтобы ночью нам присниться. Ты ей пожелай: ""Баю-бай!"" Обязательно по дому в этот час Тихо-тихо ходит Дрёма возле нас. За окошком все темнее, Утро ночи мудренее, Глазки закрывай! Баю-бай!Баю-бай, должны все люди ночью спать. Баю-баю, завтра будет день опять. За день мы устали очень, Скажем всем: ""Спокойной ночи!"" Глазки закрывай! Баю-бай!";2;spyat-ustalye-igrushky.mp3;spyat-ustalye-igrushky_1.mp3.mp3;https://www.youtube.com/embed/FwuDIcf-79I?ecver=1; С видео С текстом С минусовками Мужской голос Советские колыбельные 
https://xn----9sbmabsiicuddu3a5lep.xn--p1ai/media/ne-lozhisya-na-krayu;Не ложися на краю;Не ложися на краю - Валентина Рябкова - Колыбельные-песни.рф;Не ложися на краю, Старые колыбельные, Женский голос, Только голос, Русские народные колыбельные, Валентина Рябкова, Про волчка;"Баю-баюшки-баю,Не ложися на краю:Придет серенький волчок,Тебя схватит за бочокИ утащит во лесок,Под ракитовый кусток;Там птички поют.Тебе спать не дадут.";1;ne-lozhisya-na-krayu.mp3;-;-; С текстом Только голос Женский голос Про волчка Старые колыбельные Русские народные колыбельные 
https://xn----9sbmabsiicuddu3a5lep.xn--p1ai/media/indeyskaya-fleyta-i-zvuki-lesa;Индейская флейта и звуки леса;Индейская флейта и звуки леса - Долгая колыбельная - Колыбельные-песни.рф;Индейская флейта и звуки леса, Только музыка;-;1;indejskaya-flejta-i-zvuki-lesa.mp3;-;https://www.youtube.com/embed/4fqgJQAdClg?ecver=1; С видео Только музыка Колыбельные природы 
https://xn----9sbmabsiicuddu3a5lep.xn--p1ai/media/spyat-ustalye-igrushki-alsu;Спят усталые игрушки;Спят усталые игрушки - Алсу - Колыбельные-песни.рф;Спят усталые игрушки, Спят усталые игрушки;-;1;spyat-ustalye-igrushki-alsu.mp3;-;-; Женский голос Советские колыбельные 
